176
15
0 1 2
0 1 4
0 1 6
0 1 7
0 1 12
0 1 14
0 2 6
0 2 10
0 2 12
0 3 5
0 3 13
0 3 14
0 4 6
0 4 7
0 4 10
0 4 11
0 5 6
0 5 8
0 5 10
0 5 12
0 5 13
0 6 8
0 6 9
0 6 11
0 7 8
0 7 12
0 8 9
0 8 10
0 8 14
0 9 10
0 9 11
0 9 14
0 10 13
0 11 14
0 12 13
1 2 3
1 2 5
1 2 6
1 2 10
1 2 11
1 2 13
1 3 7
1 3 9
1 3 11
1 3 12
1 4 5
1 4 8
1 4 9
1 4 11
1 4 12
1 4 13
1 4 14
1 5 6
1 5 8
1 5 10
1 5 14
1 6 11
1 6 12
1 6 13
1 7 11
1 7 12
1 7 14
1 8 9
1 8 10
1 8 11
1 8 13
1 8 14
1 9 12
1 9 13
1 9 14
1 10 14
1 11 14
1 12 14
2 3 5
2 3 7
2 3 9
2 3 12
2 3 13
2 4 7
2 4 9
2 4 12
2 5 13
2 6 11
2 6 13
2 6 14
2 7 8
2 7 9
2 7 10
2 7 11
2 8 11
2 8 14
2 9 11
2 9 13
2 10 11
2 10 12
2 10 14
2 11 13
2 12 14
3 4 5
3 4 7
3 4 11
3 4 12
3 5 7
3 5 11
3 5 12
3 5 13
3 6 7
3 6 8
3 6 10
3 6 12
3 6 13
3 7 8
3 7 10
3 8 11
3 8 13
3 9 10
3 9 11
3 9 12
3 9 13
3 10 13
3 11 12
3 13 14
4 5 8
4 5 10
4 5 13
4 6 8
4 6 9
4 6 10
4 6 13
4 6 14
4 7 9
4 7 10
4 7 11
4 7 13
4 8 9
4 8 10
4 8 11
4 8 12
4 8 13
4 9 10
4 9 13
4 9 14
4 11 13
4 12 14
5 6 8
5 6 10
5 6 12
5 6 13
5 6 14
5 7 9
5 7 11
5 7 12
5 7 13
5 7 14
5 8 9
5 8 11
5 8 14
5 9 11
5 10 14
5 11 12
5 11 13
5 12 13
6 7 8
6 7 9
6 7 11
6 7 12
6 7 13
6 8 9
6 8 11
6 9 13
6 10 11
6 10 14
6 12 13
6 13 14
7 8 9
7 8 12
7 8 13
7 8 14
7 9 12
7 9 13
7 9 14
7 10 11
7 10 14
7 11 12
7 11 13
7 11 14
7 12 14
8 9 10
8 9 11
8 9 12
8 9 14
8 10 11
8 10 13
8 11 14
8 12 13
8 13 14
9 10 12
9 10 14
9 12 13
10 11 12
10 11 13
10 12 13
10 12 14
11 12 13
11 13 14
12 13 14
